"","solution","std.error","z.ratio"
"vm(ID, ginv)_No_519652",0.54254007820931,0.806568634613863,0.67265209050566
"vm(ID, ginv)_No_519653",0.252223556736849,0.788855355358253,0.319733592506707
"vm(ID, ginv)_No_519654",0.491838263457894,0.815215996983245,0.603322635078274
"vm(ID, ginv)_No_519655",-0.152353686377651,0.808080646926577,-0.188537724492113
"vm(ID, ginv)_No_519656",0.766646856471636,0.815931597715365,0.939596969425222
"vm(ID, ginv)_No_519657",0.875634084812015,0.807371025207176,1.08454980111198
"vm(ID, ginv)_No_519658",0.194871372129956,0.791795470690659,0.246113269579549
"vm(ID, ginv)_No_519659",0.304286594729845,0.798914296698135,0.380875140158892
"vm(ID, ginv)_No_519660",-0.305409908348597,0.814959145418068,-0.374754869695859
"vm(ID, ginv)_No_519661",0.748886794725878,0.800281713202255,0.935778966795675
"vm(ID, ginv)_No_519662",-0.0174973593699597,0.785472623672296,-0.0222762179643574
"vm(ID, ginv)_No_519663",0.872611251907209,0.808733948477256,1.07898432302765
"vm(ID, ginv)_No_519664",0.183051823017374,0.805072472926796,0.227373098911083
"vm(ID, ginv)_No_519665",0.390196155789372,0.798455853726167,0.488688452803543
"vm(ID, ginv)_No_519666",0.733223439442457,0.796579599168541,0.920464747286757
"vm(ID, ginv)_No_519667",1.03531817385731,0.805969277945598,1.28456282663319
"vm(ID, ginv)_No_519668",0.102461822665941,0.817479730028206,0.125338670675547
"vm(ID, ginv)_No_519669",0.990325460992879,0.827354831120927,1.19697791532945
"vm(ID, ginv)_No_519670",0.715888589818406,0.828090100695721,0.864505673014267
"vm(ID, ginv)_No_519671",0.482231107897018,0.820374420497305,0.587818313014553
"vm(ID, ginv)_No_519672",0.527032815669202,0.815876929529777,0.64597097502555
"vm(ID, ginv)_No_519673",0.499812186340998,0.791160462012181,0.63174565759999
"vm(ID, ginv)_No_519674",1.54581885084251,0.812656338680226,1.90218026644936
"vm(ID, ginv)_No_519675",1.40600835493179,0.824742163887562,1.70478534564589
"vm(ID, ginv)_No_519676",0.589552215370127,0.802790690036417,0.734378490791146
"vm(ID, ginv)_No_519677",0.517129893190845,0.780258181772865,0.66276766494886
"vm(ID, ginv)_No_519678",0.171004586649318,0.809535834317598,0.211237822218787
"vm(ID, ginv)_No_519679",0.984542260874835,0.807745671499942,1.21887655435725
"vm(ID, ginv)_No_519680",1.7206820428784,0.811624461771301,2.12004704629424
"vm(ID, ginv)_No_519681",0.0525833828795872,0.804250330459988,0.0653818604581889
"vm(ID, ginv)_No_519682",-0.0511954752043661,0.783117764926321,-0.0653739162834376
"vm(ID, ginv)_No_519683",0.928390520478443,0.820156519780256,1.13196749411586
"vm(ID, ginv)_No_519684",0.439935883630361,0.792320982049289,0.555249568795332
"vm(ID, ginv)_No_519685",0.132274667375732,0.79831667997103,0.16569197499485
"vm(ID, ginv)_No_519686",1.32699032157738,0.812039831537164,1.63414437326976
"vm(ID, ginv)_No_519687",0.219635814601681,0.774701168856854,0.283510369457393
"vm(ID, ginv)_No_519688",0.10553391335758,0.805354660408253,0.131040296338613
"vm(ID, ginv)_No_519689",0.136180864417668,0.786088126062486,0.173238673760152
"vm(ID, ginv)_No_519690",0.327250467422589,0.787658211070312,0.415472679422593
"vm(ID, ginv)_No_519691",0.409710676577774,0.820691332238153,0.499226274829087
"vm(ID, ginv)_No_519692",0.739076914099091,0.8083330759154,0.914322246757155
"vm(ID, ginv)_No_519693",0.358931900410923,0.812788750925073,0.441605398699731
"vm(ID, ginv)_No_519694",-0.0542304226921389,0.799602779101511,-0.0678217036127312
"vm(ID, ginv)_No_519695",0.510616155712346,0.826613904194827,0.617720259871163
"vm(ID, ginv)_No_519696",0.0958778290051216,0.817936883911154,0.117219104421187
"vm(ID, ginv)_No_519697",0.410296299904393,0.810270266036079,0.5063696856502
"vm(ID, ginv)_No_519698",0.751983219615493,0.823333326823791,0.913339950073989
"vm(ID, ginv)_No_519699",0.911963100067424,0.826446741285468,1.10347473649535
"vm(ID, ginv)_No_519700",0.557027201419094,0.811993129582778,0.685999894734711
"vm(ID, ginv)_No_519701",0.24056808989257,0.80647314346327,0.298296467579178
